setup,mechanic,hist_n,hist_wr,hist_avg,hist_med,hist_p10_ret,hist_p05_ret,hist_worst_ret,hist_avg_bars,hist_exit_reasons,hist_h1_n,hist_h1_wr,hist_h1_avg,hist_h2_n,hist_h2_wr,hist_h2_avg,recent_n,recent_wr,recent_avg,recent_med,recent_p10_ret,recent_p05_ret,recent_worst_ret,recent_avg_bars,recent_exit_reasons
L1,fixed_5,382,0.5706806282722513,0.000267256795,0.0002117507074097,-0.0020023965793359,-0.0027392552510299,-0.0183351243387013,4.832460732984293,time:90.1%;eod:9.9%,191,0.6178010471204188,0.0004049844804996,191,0.5235602094240838,0.0001295291095003,47,0.5957446808510638,0.0005041615323944,0.0002072359993043,-0.0009536544317413,-0.0016051594854527,-0.0020330988320936,4.659574468085107,time:89.4%;eod:10.6%
L1,fixed_8,346,0.6011560693641619,0.0006450108522956,0.000446844021399,-0.0020152992528594,-0.0034683818985663,-0.0169170816714184,7.42485549132948,time:84.4%;eod:15.6%,176,0.6420454545454546,0.0010531326195849,170,0.5588235294117647,0.0002224847873373,42,0.6428571428571429,0.000923616274998,0.000478574209371,-0.0009423482720893,-0.0010071799528784,-0.001593120022589,7.380952380952381,time:88.1%;eod:11.9%
L1,fixed_12,330,0.6424242424242425,0.0008611489519793,0.0005285666310489,-0.0022817904852317,-0.0036624978230321,-0.0187170455716132,10.806060606060608,time:79.4%;eod:20.6%,167,0.6646706586826348,0.0014491423639339,163,0.6196319018404908,0.0002587262538418,40,0.65,0.0008746577531257,0.0004495260283168,-0.0009483081632403,-0.0011813948124642,-0.003436063308666,10.825,time:82.5%;eod:17.5%
L1,fixed_18,319,0.6865203761755486,0.0012890872637674,0.0009921708560582,-0.0019983834597923,-0.0039375156979855,-0.0130518806167531,15.39498432601881,time:73.0%;eod:27.0%,160,0.71875,0.0018631312758973,159,0.6540880503144654,0.0007114329119386,38,0.5789473684210527,0.0009874236076234,0.0005198133035955,-0.001414290460445,-0.00331090606337,-0.005415568561461,15.736842105263158,time:73.7%;eod:26.3%
L1,fixed_24,307,0.6872964169381107,0.0016867204965912,0.0011379340930668,-0.0018488917237127,-0.0030403946446094,-0.009160198519845,19.77198697068404,time:65.8%;eod:34.2%,156,0.6987179487179487,0.0024252308775203,151,0.6754966887417219,0.0009237561295387,35,0.6285714285714286,0.0011610834401493,0.0007277044204905,-0.0022226967432604,-0.0044691683366508,-0.005415568561461,20.285714285714285,time:68.6%;eod:31.4%
L1,fixed_eod,217,0.7741935483870968,0.0042556365605252,0.0026446343161314,-0.0009832921820317,-0.0016877849752624,-0.0082580537807016,48.70967741935484,eod:100.0%,110,0.8090909090909091,0.0061939750231791,107,0.7383177570093458,0.0022629521596661,27,0.8148148148148148,0.0023572322714268,0.0018294103427496,-0.000480805531026,-0.0008722619834942,-0.0013401418931937,45.407407407407405,eod:100.0%
L1,sma9_close_max12,344,0.6656976744186046,0.0004599817529157,0.000448824940785,-0.0013531208779954,-0.002597357635852,-0.0187170455716132,6.2645348837209305,sma9_close:85.5%;eod:9.3%;time:5.2%,172,0.7325581395348837,0.0007374161293166,172,0.5988372093023255,0.0001825473765148,42,0.6428571428571429,0.0005977109556899,0.0003643631808047,-0.0005063359968137,-0.0009874718735958,-0.0013401418931937,6.142857142857143,sma9_close:85.7%;eod:11.9%;time:2.4%
L1,bbmid_close_max12,336,0.6785714285714286,0.0005709873226666,0.0004823028162138,-0.0022653886100163,-0.0035939569400434,-0.0187170455716132,8.476190476190476,bb_mid_close:53.9%;time:33.3%;eod:12.8%,171,0.7017543859649122,0.0010110832559893,165,0.6545454545454545,0.0001148879008595,41,0.7317073170731707,0.000828007371416,0.0005330339342612,-0.0009414605971811,-0.0011730397029521,-0.003436063308666,8.512195121951219,bb_mid_close:58.5%;time:26.8%;eod:14.6%
L1,target15_max12,354,0.7372881355932204,0.0003697739496115,0.0013497749999999,-0.0016230809966458,-0.0026632326347935,-0.0080710425555505,7.0790960451977405,target_15bp:54.5%;time:34.5%;eod:11.0%,188,0.7925531914893617,0.0006019739475105,166,0.6746987951807228,0.0001068004580151,42,0.7142857142857143,0.0005158583179459,0.0012703291826652,-0.0009094499821926,-0.0011648845306931,-0.003436063308666,7.666666666666667,target_15bp:50.0%;time:33.3%;eod:16.7%
L1,target25_max12,343,0.6967930029154519,0.0006032657216414,0.0009621378110664,-0.0017695131256172,-0.0032311559631525,-0.0100838906559583,8.408163265306122,time:46.4%;target_25bp:38.2%;eod:15.5%,179,0.7486033519553073,0.0009687253726214,164,0.6402439024390244,0.0002043798830718,40,0.675,0.0005558755599993,0.0005328184854723,-0.0009483081632403,-0.0011813948124642,-0.003436063308666,9.675,time:62.5%;target_25bp:20.0%;eod:17.5%
L1,resignal_extend5_cap24,343,0.6034985422740525,0.0004791079037528,0.0003220136515198,-0.0016445108707285,-0.0028026647071232,-0.0169170816714184,6.381924198250728,resignal_time:56.0%;time:30.6%;eod:13.4%,174,0.6379310344827587,0.0007266086069249,169,0.5680473372781065,0.0002242846945696,42,0.5714285714285714,0.0007286011988125,0.0001576386944003,-0.0010007232996426,-0.0010611859483085,-0.0013664820750496,6.023809523809524,resignal_time:52.4%;time:35.7%;eod:11.9%
L2,fixed_5,308,0.5454545454545454,0.0002389363331748,0.0001171178483764,-0.0020590406301431,-0.002753269448019,-0.0147243061940187,4.785714285714286,time:87.3%;eod:12.7%,153,0.5751633986928104,0.0004059294526009,155,0.5161290322580645,7.40979636768149e-05,37,0.6216216216216216,0.0005730340102437,0.0002072359993043,-0.0009536544317413,-0.0014158612052677,-0.0019969851022192,4.567567567567568,time:86.5%;eod:13.5%
L2,fixed_8,288,0.6041666666666666,0.0005607049694505,0.0003959946145138,-0.0021143367303857,-0.0035381929801973,-0.0169170816714184,7.322916666666667,time:81.9%;eod:18.1%,145,0.6206896551724138,0.0009221223092162,143,0.5874125874125874,0.000194232841716,34,0.6764705882352942,0.0011312114929262,0.0004877156493565,-0.0009310373386737,-0.0009741042941369,-0.0013401418931937,7.235294117647059,time:85.3%;eod:14.7%
L2,fixed_12,274,0.6204379562043796,0.0007562791908417,0.0004831585035388,-0.0024381151066598,-0.0037951040393227,-0.0128741518849625,10.569343065693433,time:75.5%;eod:24.5%,136,0.6397058823529411,0.001340026173153,138,0.6014492753623188,0.0001809923097234,33,0.6363636363636364,0.0009492914405502,0.0005663560241142,-0.0009620342500028,-0.0012398805790487,-0.003436063308666,10.575757575757576,time:78.8%;eod:21.2%
L2,fixed_18,267,0.6629213483146067,0.0011739537959177,0.0009619570883128,-0.0022804440702001,-0.004165150217097,-0.0095849886688632,14.925093632958802,time:68.5%;eod:31.5%,132,0.696969696969697,0.0017447007640127,135,0.6296296296296297,0.0006158900937805,32,0.5625,0.0009904633576344,0.0005198133035955,-0.0013440670589951,-0.0036330010320208,-0.005415568561461,15.28125,time:68.8%;eod:31.2%
L2,fixed_24,257,0.6614785992217899,0.0014423064765373,0.0010132182555799,-0.0020946273950454,-0.0030367623216963,-0.009160198519845,18.95330739299611,time:59.9%;eod:40.1%,129,0.6666666666666666,0.0020483754417916,128,0.65625,0.000831502597492,31,0.6129032258064516,0.0013201903672232,0.0005663560241142,-0.0013401418931937,-0.0046317058905374,-0.005415568561461,19.387096774193548,time:64.5%;eod:35.5%
L2,fixed_eod,196,0.7602040816326531,0.0036303295319742,0.0022934871624143,-0.000989478868026,-0.0022869637802525,-0.0082580537807016,44.21938775510204,eod:100.0%,98,0.7755102040816326,0.0050804540114815,98,0.7448979591836735,0.0021802050524669,24,0.7916666666666666,0.0024302722755614,0.0017924300575905,-0.0004784421697773,-0.0005052024465088,-0.0013401418931937,45.708333333333336,eod:100.0%
L2,sma9_close_max12,286,0.6573426573426573,0.0004170461334895,0.0003991759474371,-0.0015384723667404,-0.0027292074245669,-0.0122621042129698,6.34965034965035,sma9_close:83.9%;eod:11.2%;time:4.9%,142,0.7183098591549296,0.0006978269510138,144,0.5972222222222222,0.0001401650495419,34,0.7058823529411765,0.0007395455601077,0.0003653422591501,-0.0004706285460905,-0.0007602291827913,-0.0013401418931937,5.794117647058823,sma9_close:82.4%;eod:14.7%;time:2.9%
L2,bbmid_close_max12,280,0.6607142857142857,0.0004705919396029,0.0004220130085874,-0.0023429401419178,-0.0037281293480754,-0.0128741518849625,8.45,bb_mid_close:49.3%;time:35.0%;eod:15.7%,141,0.6808510638297872,0.0009401604570096,139,0.6402877697841727,-5.7329593491937095e-06,33,0.7272727272727273,0.0009550872795091,0.0005663560241142,-0.0009620342500028,-0.0012398805790487,-0.003436063308666,8.212121212121213,bb_mid_close:57.6%;time:24.2%;eod:18.2%
L2,target15_max12,290,0.7241379310344828,0.0003378633638078,0.0013497749999999,-0.0017748992586469,-0.0027713912271343,-0.0080710425555505,7.037931034482758,target_15bp:55.2%;time:32.1%;eod:12.8%,149,0.7785234899328859,0.0005617607026822,141,0.6666666666666666,0.00010126262982,34,0.7058823529411765,0.0005181308631562,0.0013497749999999,-0.0008933617146304,-0.0012315254695366,-0.003436063308666,7.352941176470588,target_15bp:52.9%;time:26.5%;eod:20.6%
L2,target25_max12,284,0.676056338028169,0.0005101919873711,0.0008331007371413,-0.0020394477274743,-0.0034657634525034,-0.0100838906559583,8.376760563380282,time:46.8%;target_25bp:34.9%;eod:18.3%,145,0.7241379310344828,0.0008550646093423,139,0.6258992805755396,0.000150432777401,33,0.6666666666666666,0.000588605814851,0.0006081978354879,-0.0009620342500028,-0.0012398805790487,-0.003436063308666,9.242424242424242,time:57.6%;target_25bp:21.2%;eod:21.2%
L2,resignal_extend5_cap24,287,0.578397212543554,0.0004047587754794,0.0002735023656146,-0.0017080227627127,-0.0029121267020328,-0.0169170816714184,6.275261324041812,resignal_time:54.7%;time:29.6%;eod:15.7%,143,0.5874125874125874,0.0006482508707097,144,0.5694444444444444,0.000162957597577,34,0.6470588235294118,0.0009029550866939,0.0002016344523745,-0.0008646555345044,-0.001160573807905,-0.0013664820750496,5.852941176470588,resignal_time:50.0%;time:35.3%;eod:14.7%
L3,fixed_5,177,0.5875706214689266,0.0004067685809988,0.0003842616584748,-0.0024616806522833,-0.0030665644168088,-0.0183351243387013,4.790960451977401,time:91.5%;eod:8.5%,92,0.6847826086956522,0.0007127448115452,85,0.4823529411764706,7.559430793692603e-05,21,0.8571428571428571,0.0006990342170044,0.0005349478435434,-7.560763043013008e-05,-0.0005097169471802,-0.0019969851022192,5.0,time:95.2%;eod:4.8%
L3,fixed_8,170,0.6411764705882353,0.0009002905142461,0.000732569526229,-0.0028194248294986,-0.004088447578019,-0.0169170816714184,7.464705882352941,time:87.6%;eod:12.4%,88,0.6931818181818182,0.001525986131243,82,0.5853658536585366,0.0002288122911274,20,0.8,0.0012657148347188,0.0007979241230852,-0.0006645698304306,-0.0008942768050732,-0.0009480037387971,7.85,time:95.0%;eod:5.0%
L3,fixed_12,165,0.6363636363636364,0.0010459363140552,0.0007208099143429,-0.0025819334332296,-0.0044875918175912,-0.0187170455716132,10.915151515151516,time:81.2%;eod:18.8%,86,0.6976744186046512,0.0018287422193845,79,0.569620253164557,0.0001937678601524,19,0.7368421052631579,0.0011748079433155,0.0006695572291608,-0.0006511688016212,-0.0010369899278944,-0.003436063308666,11.63157894736842,time:84.2%;eod:15.8%
L3,fixed_18,164,0.676829268292683,0.0015561810395149,0.0012186689818116,-0.002684499646342,-0.0046123147581668,-0.0130518806167531,15.609756097560975,time:73.8%;eod:26.2%,86,0.7674418604651163,0.0022954831777865,78,0.5769230769230769,0.0007410530409078,19,0.5789473684210527,0.0010131686024307,0.0005663560241142,-0.0033202946924987,-0.0040241860791386,-0.0042235084745474,16.157894736842106,time:73.7%;eod:26.3%
L3,fixed_24,162,0.7037037037037037,0.0019494951477362,0.0014331893837178,-0.0023193694079568,-0.003923865414378,-0.009160198519845,19.895061728395063,time:69.1%;eod:30.9%,86,0.7790697674418605,0.0026005071107923,76,0.618421052631579,0.0012128237158569,17,0.7058823529411765,0.0010746491258843,0.0007277044204905,-0.0040913682901176,-0.0043878995597075,-0.005038049775254,20.176470588235293,time:64.7%;eod:35.3%
L3,fixed_eod,137,0.8029197080291971,0.0047687634621122,0.0035252808568122,-0.0008065668496469,-0.0011902751716581,-0.0082773005447747,51.37956204379562,eod:100.0%,71,0.8309859154929577,0.0062476706234416,66,0.7727272727272727,0.0031778178794698,14,1.0,0.00258359696035,0.0020446829010823,0.0007392783402189,0.0004254872006299,0.0001638736713018,56.71428571428572,eod:100.0%
L3,sma9_close_max12,168,0.6964285714285714,0.0007450514084067,0.0006926902370645,-0.0017704161877768,-0.0037550300763911,-0.0187170455716132,6.613095238095238,sma9_close:85.1%;eod:8.9%;time:6.0%,87,0.7816091954022989,0.0012301353195456,81,0.6049382716049383,0.000224035355702,20,0.85,0.0007676803668184,0.0006142281059194,-0.0001465818190075,-0.0002390949119,-0.0006257715270316,6.35,sma9_close:90.0%;time:5.0%;eod:5.0%
L3,bbmid_close_max12,166,0.6445783132530121,0.0008900974693247,0.0008067657144023,-0.0025763841322306,-0.0044825015742775,-0.0187170455716132,9.228915662650602,bb_mid_close:46.4%;time:41.0%;eod:12.7%,87,0.7011494252873564,0.0016855103569639,79,0.5822784810126582,1.413644116503211e-05,19,0.8947368421052632,0.0012262685507933,0.0013715799603621,-0.000112265002212,-0.0010369899278944,-0.003436063308666,9.473684210526317,bb_mid_close:63.2%;time:26.3%;eod:10.5%
L3,target15_max12,182,0.7417582417582418,0.0003842215151755,0.0013497749999999,-0.0020237882488097,-0.0030625144727259,-0.0082773005447747,5.950549450549451,target_15bp:64.3%;time:24.7%;eod:11.0%,100,0.81,0.000673029314707,82,0.6585365853658537,3.201688160063452e-05,21,0.9047619047619048,0.0009205980253396,0.0013497749999999,0.0001638736713018,-0.0006213544472966,-0.003436063308666,7.428571428571429,target_15bp:71.4%;eod:14.3%;time:14.3%
L3,target25_max12,173,0.6994219653179191,0.0006972611728402,0.0021149805455045,-0.0022548057450286,-0.0036606621872784,-0.0082773005447747,7.491329479768786,target_25bp:49.1%;time:37.6%;eod:13.3%,93,0.7849462365591398,0.0012440906486151,80,0.6,6.157190725186723e-05,19,0.7894736842105263,0.0008993706123696,0.0011518182126468,-0.0006511688016212,-0.0010369899278944,-0.003436063308666,10.0,time:52.6%;target_25bp:31.6%;eod:15.8%
L3,resignal_extend5_cap24,170,0.6235294117647059,0.0006364953773209,0.0004735913150666,-0.0026219002063019,-0.0033175260808756,-0.0169170816714184,6.052941176470588,resignal_time:60.0%;time:30.0%;eod:10.0%,88,0.6931818181818182,0.0010069133195449,82,0.5487804878048781,0.0002389736832269,20,0.8,0.0010137441995674,0.0005298456641843,-0.000407810686918,-0.0005677079249518,-0.0013664820750496,6.1,resignal_time:55.0%;time:40.0%;eod:5.0%
L1_first,fixed_5,217,0.576036866359447,0.0003297348004191,0.0002258824567045,-0.0020571565480017,-0.0029838252192141,-0.0147243061940187,4.953917050691245,time:95.9%;eod:4.1%,110,0.6272727272727273,0.0004943257696657,107,0.5233644859813084,0.0001605291311002,27,0.6296296296296297,0.0006575807073745,0.0003133794244807,-0.0010121511297021,-0.0017999321395115,-0.0020330988320936,4.703703703703703,time:88.9%;eod:11.1%
L1_first,fixed_8,217,0.5898617511520737,0.0007482982748857,0.0005320084133209,-0.0020283984808014,-0.0035147434911801,-0.0169170816714184,7.792626728110599,time:92.6%;eod:7.4%,110,0.6272727272727273,0.0011598975930382,107,0.5514018691588785,0.0003251587889345,27,0.6666666666666666,0.0013060880571346,0.0004788260032395,-0.0007970101828468,-0.0012055340467514,-0.001593120022589,7.37037037037037,time:88.9%;eod:11.1%
L1_first,fixed_12,217,0.6543778801843319,0.0009494351911426,0.0005210864231073,-0.0022822622465209,-0.0036180342473379,-0.0128741518849625,11.400921658986174,time:87.6%;eod:12.4%,110,0.6545454545454545,0.0014820826401667,107,0.6542056074766355,0.0004018537014918,27,0.6666666666666666,0.0010996046429603,0.0008050314685523,-0.0006549519046987,-0.0011692271909115,-0.003436063308666,10.88888888888889,time:85.2%;eod:14.8%
L1_first,fixed_18,217,0.6912442396313364,0.001337143057289,0.0009921708560582,-0.0022804440702001,-0.0042763079787365,-0.0095849886688632,16.52073732718894,time:82.0%;eod:18.0%,110,0.7363636363636363,0.0019696809959515,107,0.6448598130841121,0.0006868704100659,27,0.6296296296296297,0.0012768360397538,0.0007567813456526,-0.0014150771807881,-0.0026308402561853,-0.0042235084745474,15.851851851851851,time:81.5%;eod:18.5%
L1_first,fixed_24,217,0.6912442396313364,0.001691752561472,0.0011004915825685,-0.0018977256599795,-0.0029205076526187,-0.009160198519845,21.29493087557604,time:76.0%;eod:24.0%,110,0.7090909090909091,0.0025116414340073,107,0.6728971962616822,0.0008488761504545,27,0.6296296296296297,0.0015493381061419,0.0007851957345412,-0.0015639771363862,-0.0035276724044271,-0.005038049775254,20.74074074074074,time:77.8%;eod:22.2%
L1_first,fixed_eod,217,0.7741935483870968,0.0042556365605252,0.0026446343161314,-0.0009832921820317,-0.0016877849752624,-0.0082580537807016,48.70967741935484,eod:100.0%,110,0.8090909090909091,0.0061939750231791,107,0.7383177570093458,0.0022629521596661,27,0.8148148148148148,0.0023572322714268,0.0018294103427496,-0.000480805531026,-0.0008722619834942,-0.0013401418931937,45.407407407407405,eod:100.0%
L1_first,sma9_close_max12,217,0.6497695852534562,0.0005768217600316,0.0005052806315863,-0.0015051914917948,-0.0029317791846185,-0.010218837830299,6.594470046082949,sma9_close:89.4%;time:6.5%;eod:4.1%,110,0.7090909090909091,0.0008861114615179,107,0.5887850467289719,0.0002588603846719,27,0.6666666666666666,0.0007649294516089,0.0003772625592968,-0.0005555269806525,-0.0008922875718684,-0.0013401418931937,5.962962962962963,sma9_close:88.9%;eod:11.1%
L1_first,bbmid_close_max12,217,0.6912442396313364,0.0007074435862263,0.0004782918904024,-0.0022822622465209,-0.0036180342473379,-0.0128741518849625,9.142857142857142,bb_mid_close:54.4%;time:39.2%;eod:6.5%,110,0.6818181818181818,0.0011596275672262,107,0.7009345794392523,0.0002425815496843,27,0.7407407407407407,0.0010112191247204,0.0006575108510948,-0.0006549519046987,-0.0011692271909115,-0.003436063308666,7.962962962962963,bb_mid_close:66.7%;time:22.2%;eod:11.1%
L1_first,target15_max12,217,0.7419354838709677,0.0004151351055476,0.0013497749999999,-0.0014081115469398,-0.0023364785802831,-0.007678278825454,7.387096774193548,target_15bp:53.5%;time:39.2%;eod:7.4%,110,0.7636363636363637,0.0004913335988935,107,0.719626168224299,0.0003368002058463,27,0.7407407407407407,0.0005624294900665,0.0013497749999999,-0.0005549148837988,-0.001111490033801,-0.003436063308666,7.592592592592593,target_15bp:51.9%;time:33.3%;eod:14.8%
L1_first,target25_max12,217,0.7096774193548387,0.0006251497754049,0.0008580674999258,-0.0017850627493035,-0.0027764137602365,-0.0079254112375256,8.80184331797235,time:51.2%;target_25bp:38.7%;eod:10.1%,110,0.7363636363636363,0.0008500663194196,107,0.6822429906542056,0.0003939271600628,27,0.7037037037037037,0.0006456402498858,0.0008499578017793,-0.0006549519046987,-0.0011692271909115,-0.003436063308666,9.62962962962963,time:66.7%;target_25bp:18.5%;eod:14.8%
L1_first,resignal_extend5_cap24,217,0.5944700460829493,0.0005846519839575,0.0003719649533575,-0.001689722018928,-0.0028362944215184,-0.0169170816714184,6.631336405529954,resignal_time:62.2%;time:30.9%;eod:6.9%,110,0.6090909090909091,0.0008095602545801,107,0.5794392523364486,0.0003534378739717,27,0.6296296296296297,0.0010451195650416,0.0007531823022317,-0.0009717961281491,-0.001240051945418,-0.0013664820750496,6.25925925925926,resignal_time:66.7%;time:22.2%;eod:11.1%
L2_first,fixed_5,196,0.5255102040816326,0.0001471346866797,5.717120688442101e-05,-0.0020786416008982,-0.0028357384248443,-0.0147243061940187,4.88265306122449,time:93.4%;eod:6.6%,98,0.5408163265306123,0.0002312045768222,98,0.5102040816326531,6.306479653725496e-05,24,0.625,0.0007752359048123,0.0002487168897689,-0.0007080526194153,-0.0012581442023208,-0.0019969851022192,4.666666666666667,time:87.5%;eod:12.5%
L2_first,fixed_8,196,0.5867346938775511,0.0005316721862992,0.000353335000185,-0.0021713977155405,-0.0039486484222941,-0.0169170816714184,7.63265306122449,time:89.3%;eod:10.7%,98,0.5816326530612245,0.0007822738099673,98,0.5918367346938775,0.0002810705626311,24,0.75,0.001574385189077,0.0007407502743358,-0.0007056439542719,-0.0008678393495012,-0.0013401418931937,7.291666666666667,time:87.5%;eod:12.5%
L2_first,fixed_12,196,0.6224489795918368,0.0006775015049539,0.0004472246576243,-0.0023671573417768,-0.0038763441466445,-0.0128741518849625,11.081632653061224,time:82.7%;eod:17.3%,98,0.6122448979591837,0.001119693902069,98,0.6326530612244898,0.0002353091078388,24,0.6666666666666666,0.0012226227651117,0.0008274946351658,-0.0006919075381638,-0.0012546845420526,-0.003436063308666,10.75,time:83.3%;eod:16.7%
L2_first,fixed_18,196,0.6581632653061225,0.001018204249506,0.0007513145866947,-0.0023525836427094,-0.0044355281518576,-0.0095849886688632,15.83673469387755,time:76.0%;eod:24.0%,98,0.6836734693877551,0.0014879752727838,98,0.6326530612244898,0.0005484332262282,24,0.5833333333333334,0.0013633788826753,0.0006889898336482,-0.0012267058578174,-0.0028784010761669,-0.0042235084745474,15.583333333333334,time:79.2%;eod:20.8%
L2_first,fixed_24,196,0.6632653061224489,0.0013531355189699,0.0009001435891398,-0.0020967450556781,-0.0031269988267246,-0.009160198519845,20.22959183673469,time:69.4%;eod:30.6%,98,0.6632653061224489,0.0019545205733039,98,0.6632653061224489,0.0007517504646359,24,0.625,0.0016508465865323,0.0005627868093419,-0.0012554862766644,-0.0037925789889268,-0.005038049775254,20.291666666666668,time:75.0%;eod:25.0%
